,Aff,Neg,Win
0,Kansas LS,Emory GS,Aff
1,Dartmouth CG,Northwestern LR,Neg
2,Michigan BP,Kansas HP,Aff
3,Michigan SS,UC Berkeley MR,Aff
4,Emory LY,Kansas MS,Neg
5,CSU Long Beach OM,Georgetown AC,Aff
6,NYU MS,Michigan AO,Aff
7,Wake Forest LW,UC Berkeley BU,Neg
8,Michigan ES,Michigan State FM,Neg
9,Kansas OW,Iowa AP,Neg
10,Emory RY,Harvard DS,Aff
11,Michigan CC,Baylor DL,Neg
12,Michigan State GL,Northwestern NP,Aff
13,Iowa EW,Binghamton CK,Neg
14,Northwestern PS,Emory KS,Aff
15,Georgetown LN,Northwestern AT,Neg
16,Northwestern LL,Harvard AB,Neg
17,Wichita State GM,Kansas AU,Neg
18,Kentucky GS,Baylor BK,Aff
19,Dartmouth JR,Macalester WK,Neg
20,Kentucky RS,Georgia CP,Aff
21,MoState NS,Kansas SS,Neg
22,UTD HK,Wake Forest DE,Aff
23,Georgia CK,Michigan State GS,Aff
24,UTD PR,Kansas BC,Neg
25,Kansas BW,George Mason WW,Aff
26,Gonzaga WW,Michigan State JS,Neg
27,Rochester OR,Western Kentucky KN,Neg
28,Harvard JS,Baylor MP,Aff
29,Michigan BL,Kansas JB,Neg
30,Dartmouth BC,Western Kentucky SS,Neg
31,MInnesota HU,Dartmouth GuHa,Aff
32,Emory CR,UC Berkeley LS,Neg
33,Kansas HL,UC Berkeley GS,Neg
34,Iowa BS,"Massachusetts, Amherst LM",Neg
35,Northwestern LO,George Mason DE,Neg
36,Texas FL,Northwestern LW,Neg
37,Utah PP,Harvard CS,Neg
38,Emory/Columbia AH,Northwestern HP,Aff
39,Cornell MD,Dartmouth BG,Neg
40,Northwestern AK,Dartmouth GH,Aff
