Institution,Location,Entry,Code,Record
Baylor,TX/US,Benton & Keeler,Baylor BK,
Baylor,TX/US,Darwish & Lassen,Baylor DL,
Baylor,TX/US,Phillips & Merriwether,Baylor PM,
Binghamton,NY/US,Cohn & King,Binghamton CK,
Cornell,NY/US,Marcy & Dye,Cornell MD,
CSU Long Beach,CA/US,Ortega & Medina,CSU Long Beach OM,
Dartmouth,NH/US,Ben-Abdallah & Carpenter,Dartmouth BC,
Dartmouth,NH/US,Brody & Goyal,Dartmouth BG,
Dartmouth,NH/US,Cai & Goldberg,Dartmouth CG,
Dartmouth,NH/US,Gonzalez Arce & Hant,Dartmouth GH,
Dartmouth,NH/US,Guo & Hatton,Dartmouth GuHa,
Dartmouth,NH/US,Jones & Rao,Dartmouth JR,
Emory,GA/US,Charabuddi & Ravikumar,Emory CR,
Emory,GA/US,Gallagher & Song,Emory GS,
Emory,GA/US,Kim & Shirts,Emory KS,
Emory,GA/US,Lobo & Yang,Emory LY,
Emory,GA/US,Rupp & Young,Emory RY,
Emory,GA/US,Aggarwal & Hu,Emory/Columbia AH,
George Mason,VA/US,Davis & Esteves,George Mason DE,
George Mason,VA/US,Wright & Witkov,George Mason WW,
Georgetown,DC/US,Aggarwal & Cowan,Georgetown AC,
Georgetown,DC/US,Lastelick & Nanji,Georgetown LN,
Georgia,GA/US,Chapman & Kaidar-Heafetz,Georgia CK,
Georgia,GA/US,Cannon & Pack,Georgia CP,
Gonzaga,WA/US,Wellman & Weinhardt,Gonzaga WW,
Harvard,MA/US,Aoki & Bodet,Harvard AB,
Harvard,MA/US,Chen & Saneyoshi,Harvard CS,
Harvard,MA/US,Deshpande & Sridharan,Harvard DS,
Harvard,MA/US,Facey & Kundu,Harvard FK,
Harvard,MA/US,Jin & Synn,Harvard JS,
Iowa,IA/US,Anderson McElligott & Parfenoff,Iowa AP,
Iowa,IA/US,Bilicki & Sanderson,Iowa BS,
Iowa,IA/US,Eltyeb & Weimar,Iowa EW,
Kansas,KS/US,Ain & Ulven,Kansas AU,
Kansas,KS/US,Blaser & Chidambaranathan,Kansas BC,
Kansas,KS/US,Brown & Walawender,Kansas BW,
Kansas,KS/US,Harker & Levin,Kansas HL,
Kansas,KS/US,Hato & Persinger,Kansas HP,
Kansas,KS/US,June & Boyle,Kansas JB,
Kansas,KS/US,Larson & Schultz,Kansas LS,
Kansas,KS/US,Marshall & Suleman,Kansas MS,
Kansas,KS/US,Owings & Willingham,Kansas OW,
Kansas,KS/US,Shaw & Suleman,Kansas SS,
Kentucky,KY/US,Gabay & Slish,Kentucky GS,
Kentucky,KY/US,Schedler & Rimpson,Kentucky SR,
Macalester,MN/US,Winters & Kochel,Macalester WK,
"Massachusetts, Amherst",MA/US,Levitan & Moussavou,"Massachusetts, Amherst LM",
Michigan,MI/US,Agustin & Ou,Michigan AO,
Michigan,MI/US,Baba & Ledesma,Michigan BL,
Michigan,MI/US,Barrett & Park,Michigan BP,
Michigan,MI/US,Chamarthy & Chen,Michigan CC,
Michigan,MI/US,Esmailzadeh & Shetty,Michigan ES,
Michigan,MI/US,Shih & Shah,Michigan SS,
Michigan State,MI/US,Foster & Martin,Michigan State FM,
Michigan State,MI/US,Gusis & Lewis,Michigan State GL,
Michigan State,MI/US,Gearring & Shehzad,Michigan State GS,
Michigan State,MI/US,Jarman & Scully,Michigan State JS,
Minnesota,MN/US,Usenov & Haber-Fawcett,MInnesota HU,
MoState,MO/US,Neal & Siever,MoState NS,
Northwestern,IL/US,Arceo & Kung,Northwestern AK,
Northwestern,IL/US,Arney & Tahirkheli,Northwestern AT,
Northwestern,IL/US,Heftman & Peltier,Northwestern HP,
Northwestern,IL/US,Leonard & Lundberg,Northwestern LL,
Northwestern,IL/US,LippSmith & Olorunsola,Northwestern LO,
Northwestern,IL/US,Li & Rubin,Northwestern LR,
Northwestern,IL/US,Lee & Weisz,Northwestern LW,
Northwestern,IL/US,Nestor & Patterson,Northwestern NP,
Northwestern,IL/US,Pacconi & Souchet,Northwestern PS,
NYU,NY/US,Makinde & Saigal,NYU MS,
Rochester,NY/US,Ozcayir & Rahman,Rochester OR,
Texas,TX/US,Feinstein & Low,Texas FL,
UC Berkeley,CA/US,Urfalian & Boguslavsky,UC Berkeley BU,
UC Berkeley,CA/US,Situ & Gilrain-Lennon,UC Berkeley GS,
UC Berkeley,CA/US,Smith & Liu,UC Berkeley LS,
UC Berkeley,CA/US,Menotti & Reichel,UC Berkeley MR,
Utah,UT/US,Parrish & Powers,Utah PP,
UTD,TX/US,Hale & Karthik,UTD HK,
UTD,TX/US,Ravi & Penumetcha,UTD RP,
Wake Forest,NC/US,Dingley & Elliott,Wake Forest DE,
Wake Forest,NC/US,Leverett & Wolfe,Wake Forest LW,
Western Kentucky,KY/US,Ney & Kumar,Western Kentucky NK,
Western Kentucky,KY/US,Schintgen & StPeter,Western Kentucky SS,
Wichita State,KS/US,Griffith & Molina Chavez,Wichita State GM,
