,Aff,Neg,Win
0,Arizona State SS,Kansas LS,Neg
1,Western Kentucky CF,Dartmouth HP,Aff
2,Iowa AP,Michigan AO,Aff
3,Northwestern AT,Emory CF,Aff
4,Michigan BP,Baylor LL,Aff
5,Missouri State NS,Emory KS,Neg
6,Wyoming CH,UTD PR,Neg
7,Wake Forest PS,Macalester CD,Aff
8,Dartmouth CG,Western Kentucky SS,Neg
9,Georgia CP,Binghamton TP,Neg
10,Harvard AB,Michigan State FM,Aff
11,Michigan ES,Harvard FK,Aff
12,Georgetown LN,Kansas AU,Neg
13,Missouri State CG,Michigan State GL,Neg
14,Michigan CS,Kansas HL,Aff
15,Michigan SS,Wake Forest SK,Aff
16,Georgetown GT,Emory GM,Neg
17,Georgetown VP,Emory RY,Neg
18,Baylor DL,Michigan HM,Aff
19,Baylor MP,Wake Forest HN,Neg
20,Northwestern LL,Kansas HP,Neg
21,Wyoming WW,Liberty CL,Neg
22,UTD HK,Northwestern PS,Neg
23,Emory GS,Kansas State DR,Aff
24,Emory AS,Wake Forest AB,Aff
25,Iowa BS,Western Kentucky IP,Aff
26,Michigan State GS,Michigan AM,Aff
27,CSU Long Beach OM,Baylor BK,Aff
28,Western Kentucky KN,Emory CrTa,Neg
29,Macalester HW,UC Berkeley MR,Aff
30,Emory OP,Kansas State DS,Aff
31,Northwestern LR,Iowa KS,Aff
32,Missouri State HN,Harvard DS,Neg
33,Kansas State AS,Michigan CC,Neg
34,CSU Long Beach ES,Georgetown KL,Aff
35,Emory PS,Kansas CS,Neg
36,Dartmouth BJ,Michigan GJ,Neg
37,Georgetown AC,Kansas HM,Aff
38,Emory SW,Binghamton CK,Neg
39,Emory LY,Kansas BW,Aff
40,Dartmouth GM,Michigan State JS,Neg
41,Dartmouth KR,West Georgia KK,Neg
42,UC Davis MS,Emory CG,Aff
43,Iowa EW,Wake Forest MP,Aff
44,Indiana FT,Wake Forest DE,Neg
45,Emory JR,Kentucky GS,Neg
46,Wichita State GM,UC Berkeley BU,Neg
47,Georgia CK,Oklahoma BW,Aff
48,Kansas OW,George Mason RS,Aff
49,Southern California ZB,Wake Forest SL,Neg
50,Southern California BR,Kansas BM,Aff
51,Cornell LD,George Mason WW,Neg
52,Southern California MT,Stanford LL,Neg
53,Gonzaga RW,Cornell DV,Aff
54,George Mason DG,Trinity KP,Neg
55,North Texas VH,Southern California BM,Neg
