,Aff,Neg,Win
0,Georgetown AC,Northwestern LR,Neg
1,Trinity KP,Wake Forest DE,Neg
2,Northwestern HP,Trinity CK,Neg
3,Minnesota HU,Kansas BM,Neg
4,UC Berkeley BU,Michigan AM,Aff
5,Baylor DL,UC Berkeley MR,Neg
6,Kentucky RW,Kansas SS,Aff
7,Kansas OW,Southern California BR,Neg
8,Wyoming WW,Michigan SS,Neg
9,Dartmouth CG,Northwestern AH,Aff
10,Georgetown TP,Southern California BM,Neg
11,UTD DD,Dartmouth BC,Neg
12,Georgia CK,Arizona State SS,Aff
13,UC Berkeley GS,Southern California MT,Neg
14,Harvard AB,Kansas BW,Aff
15,Northwestern NP,Michigan BP,Neg
16,Georgetown LN,Gonzaga RW,Aff
17,Northwestern AT,Dartmouth GH,Aff
18,CSU Long Beach OM,Iowa BS,Aff
19,Wake Forest HN,Kentucky GS,Neg
20,Michigan ES,Kansas LS,Neg
21,Wyoming CH,George Mason WW,Neg
22,Texas FL,Kansas HP,Neg
23,Michigan AO,Emory RY,Aff
24,Kansas AU,Emory CS,Aff
25,Liberty CL,Northwestern LW,Aff
26,Northwestern LL,Michigan HM,Neg
27,UTD PR,Texas GS,Aff
28,Emory KW,Michigan CS,Neg
29,Emory CG,Wake Forest AB,Neg
30,CSU Long Beach SS,Emory CR,Aff
31,Wake Forest LW,Emory GS,Neg
32,UTD HH,Southern California HV,Aff
33,Dartmouth JR,Michigan State GS,Neg
34,Emory LY,Iowa EW,Neg
35,Michigan State GL,Wichita State GM,Aff
36,Stanford LY,Michigan State JS,Aff
37,Michigan CC,Binghamton CK,Neg
38,Michigan State FM,Iowa AP,Neg
39,Navy CR,Iowa KS,Neg
40,Purdue HH,Southern California DT,Neg
