,Aff,Neg,Win
0,Georgetown AC,Kansas LS,Neg
1,Binghamton CK,Kansas OW,Aff
2,Michigan State GL,Northwestern LR,Neg
3,Michigan ES,Emory GS,Neg
4,CSU Long Beach OM,Michigan State JS,Aff
5,Northwestern AT,Michigan AO,Aff
6,Michigan CC,Emory LY,Neg
7,Wake Forest HN,Michigan SS,Neg
8,Southern California BR,Northwestern NP,Neg
9,Emory RY,Iowa AP,Neg
10,Dartmouth CG,Michigan State GS,Aff
11,Wake Forest DE,Michigan BP,Neg
12,Wake Forest LW,UTD HH,Neg
13,UC Berkeley MR,UTD DD,Aff
14,Kentucky RW,Michigan State FM,Aff
15,Kansas SS,Dartmouth JR,Aff
16,Kansas AU,Texas FL,Neg
17,George Mason WW,Baylor DL,Aff
18,Stanford LY,Liberty CL,Neg
19,UC Berkeley BU,Iowa EW,Neg
20,UTD PR,Kentucky GS,Aff
21,Wichita State GM,Kansas HP,Neg
22,Southern California DT,Trinity KP,Aff
23,Southern California MT,Iowa KS,Neg
24,Wyoming CH,Southern California BM,Neg
25,Michigan AM,Gonzaga RW,Neg
26,Wake Forest AB,Northwestern LW,Neg
27,Dartmouth BC,Iowa BS,Neg
28,Georgetown TP,Harvard AB,Neg
29,Arizona State SS,Northwestern LL,Neg
30,UC Berkeley GS,Michigan CS,Aff
31,Emory CR,Georgia CK,Neg
32,CSU Long Beach SS,Kansas BW,Neg
33,Northwestern AH,Emory CS,Aff
34,Wyoming WW,Harvard/Amherst SL,Aff
35,Kansas BM,Emory CG,Aff
36,Navy CR,Texas GS,Aff
37,Emory ST,Georgetown LN,Neg
38,Minnesota HU,Trinity CK,Aff
39,Emory KW,Michigan HM,Neg
40,Northwestern HP,Purdue HH,Neg
