,Aff,Neg,Win
0,Northwestern LR,Kansas LS,Neg
1,Emory GS,Michigan SS,Aff
2,Kansas MS,Michigan BP,Neg
3,Michigan State FM,CSU Long Beach OM,Aff
4,UC Berkeley MR,Kansas BW,Aff
5,Georgetown AC,Kentucky RS,Aff
6,Kansas HP,Northwestern PS,Aff
7,Iowa AP,Michigan State GL,Aff
8,UC Berkeley BU,NYU MS,Aff
9,Baylor DL,Emory RY,Aff
10,Binghamton CK,Emory LY,Aff
11,Emory KS,MInnesota HU,Aff
12,Harvard DS,Georgia CK,Aff
13,Northwestern NP,UTD HK,Aff
14,Northwestern AT,Kentucky GS,Neg
15,Kansas AU,Wake Forest LW,Aff
16,Kansas SS,Dartmouth CG,Neg
17,Macalester WK,Iowa EW,Neg
18,Kansas BC,Michigan ES,Neg
19,Michigan State JS,Michigan CC,Neg
20,Harvard AB,Kansas OW,Neg
21,Georgia CP,Northwestern AK,Aff
22,George Mason WW,Michigan BL,Aff
23,Michigan State GS,Rochester OR,Aff
24,Michigan AO,Emory/Columbia AH,Aff
25,Wake Forest DE,Kansas HL,Aff
26,Baylor BK,Texas FL,Neg
27,Kansas JB,Harvard JS,Neg
28,Western Kentucky KN,Georgetown LN,Neg
29,George Mason DE,Dartmouth JR,Aff
30,UC Berkeley GS,Gonzaga WW,Aff
31,Northwestern LW,MoState NS,Neg
32,"Massachusetts, Amherst LM",Wichita State GM,Aff
33,Western Kentucky SS,UTD PR,Neg
34,UC Berkeley LS,Northwestern LL,Neg
35,Dartmouth GuHa,Northwestern LO,Neg
36,Harvard CS,Dartmouth BC,Neg
37,Baylor MP,Emory CR,Neg
38,Dartmouth BG,Iowa BS,Neg
39,Northwestern HP,Harvard FK,Aff
40,Dartmouth GH,Cornell MD,Neg
