,Aff,Neg,Win
0,Michigan BP,Emory GS,Neg
1,Iowa AP,Georgetown AC,Neg
2,Emory RY,Kansas HP,Aff
3,Kansas AU,Binghamton CK,Neg
4,Michigan ES,Kansas OW,Neg
5,Wake Forest SL,Kansas LS,Neg
6,Kansas BW,Michigan State GL,Neg
7,Emory LY,Northwestern LL,Aff
8,Northwestern PS,West Georgia KK,Aff
9,Michigan SS,Dartmouth CG,Aff
10,Emory GM,UTD HK,Neg
11,Wake Forest PS,Northwestern LR,Neg
12,Northwestern AT,Baylor DL,Aff
13,Emory KS,CSU Long Beach OM,Neg
14,UTD PR,Kansas BM,Aff
15,Michigan State JS,Emory OP,Neg
16,Iowa EW,Kansas State DR,Aff
17,Harvard AB,Michigan AO,Neg
18,Wake Forest AB,Michigan CS,Neg
19,Stanford LL,Emory AS,Aff
20,UC Berkeley MR,Iowa BS,Aff
21,Michigan CC,George Mason DG,Aff
22,Western Kentucky CF,Emory JR,Neg
23,Michigan State FM,Wichita State GM,Aff
24,Emory CF,Kentucky GS,Neg
25,Georgia CP,Harvard DS,Neg
26,Kansas State AS,Michigan State GS,Aff
27,Baylor LL,UC Berkeley BU,Neg
28,Western Kentucky KN,George Mason WW,Neg
29,Georgetown VP,Southern California BR,Neg
30,Missouri State CG,Liberty CL,Neg
31,Western Kentucky SS,Dartmouth KR,Aff
32,Southern California BM,Missouri State HN,Aff
33,Emory CrTa,Dartmouth GM,Neg
34,Baylor BK,Michigan AM,Aff
35,Kansas CS,Wake Forest HN,Neg
36,Georgia CK,UC Davis MS,Aff
37,Macalester HW,Missouri State NS,Neg
38,Gonzaga RW,Dartmouth BJ,Neg
39,Wyoming CH,Michigan GJ,Aff
40,Wake Forest SK,Southern California MT,Neg
41,Georgetown KL,Trinity KP,Aff
42,Macalester CD,Georgetown LN,Neg
43,North Texas VH,Emory SW,Aff
44,Western Kentucky IP,Wake Forest DE,Neg
45,Arizona State SS,Harvard FK,Aff
46,Wake Forest MP,Indiana FT,Aff
47,Kansas HM,Emory CG,Neg
48,Iowa KS,Kansas State DS,Aff
49,Kansas HL,Dartmouth HP,Neg
50,Wyoming WW,CSU Long Beach ES,Neg
51,Emory PS,Georgetown GT,Aff
52,George Mason RS,Baylor MP,Neg
