Aff,Neg,Judges,Votes,Win
Michigan State GL,Emory SG,"Brett Bricker																																						Jacob Wilkus																																						Kevin Hirn																																						Graham Revare																																						Nick Fleming","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Kansas LS,Michigan BP,"jasmine stidham																																						Nathan Rothenbaum																																						Henry Mitchell","Aff																															Aff																															Neg","2-1																															AFF"
