,Aff,Neg,Win
0,Kansas LS,CSU Long Beach OM,Aff
1,Emory LY,Northwestern LR,Neg
2,Emory GS,Kansas MS,Aff
3,Kansas BW,Michigan BP,Neg
4,UC Berkeley MR,Michigan State FM,Aff
5,Northwestern PS,Georgetown AC,Neg
6,Michigan SS,Wake Forest LW,Aff
7,Northwestern LL,Michigan ES,Neg
8,Emory KS,Iowa AP,Neg
9,Iowa EW,NYU MS,Neg
10,Emory RY,Michigan CC,Aff
11,Harvard DS,UC Berkeley BU,Neg
12,Binghamton CK,Baylor DL,Neg
13,Kansas HP,Michigan State GL,Aff
14,Dartmouth CG,Kansas HL,Aff
15,MInnesota HU,George Mason WW,Neg
16,Kentucky GS,Georgia CP,Neg
17,Michigan State JS,Kansas SS,Aff
18,Northwestern NP,Wake Forest DE,Aff
19,Northwestern LW,UTD HK,Neg
20,Macalester WK,UC Berkeley GS,Aff
21,Harvard AB,Northwestern AT,Neg
22,Kansas OW,Michigan AO,Aff
23,Georgetown LN,Kansas AU,Neg
24,Kentucky RS,Kansas JB,Aff
25,Kansas BC,Western Kentucky KN,Aff
26,Michigan State GS,Wichita State GM,Aff
27,Georgia CK,MoState NS,Aff
28,Gonzaga WW,UTD PR,Neg
29,Cornell MD,Baylor BK,Neg
30,Dartmouth GuHa,Utah PP,Aff
31,Rochester OR,Dartmouth BC,Neg
32,Dartmouth JR,"Massachusetts, Amherst LM",Aff
33,Northwestern AK,Iowa BS,Neg
34,UC Berkeley LS,Northwestern LO,Neg
35,Emory CR,Harvard CS,Aff
36,Texas FL,Harvard JS,Neg
37,Dartmouth BG,Western Kentucky SS,Neg
38,George Mason DE,Baylor MP,Aff
39,Dartmouth GH,Michigan BL,Neg
40,Harvard FK,Emory/Columbia AH,Neg
