,Aff,Neg,Win
0,Northwestern HP,Western Kentucky KN,Neg
1,"Harvard/Massachusetts, Amherst AL",UC Berkeley GS,Neg
2,Iowa EW,Western Kentucky IP,Aff
3,Kansas SF,Dartmouth CG,Neg
4,Northwestern NP,Michigan State JS,Aff
5,Northwestern LL,Michigan CC,Neg
6,Wake Forest LW,Dartmouth BC,Aff
7,Northwestern LW,Kansas ST,Aff
8,Wake Forest MP,UTD DD,Aff
9,Michigan CS,UTD HH,Aff
10,UC Berkeley BU,Stanford LL,Neg
11,Georgetown AC,UTD KU,Aff
12,Gonzaga GW,Iowa KS,Aff
13,George Mason DG,Kansas LS,Neg
14,Purdue AH,Wake Forest SK,Neg
15,Liberty CL,Kansas VF,Aff
16,Emory CS,Northwestern AT,Neg
17,Macalester CD,James Madison OM,Aff
18,Wichita State GM,Michigan BL,Aff
19,Wyoming WW,Kansas State DS,Aff
20,Oklahoma DT,Texas FL,Neg
21,Kansas BW,Kentucky GS,Neg
22,Kansas State DR,Dartmouth JR,Neg
23,Missouri State NS,Kentucky ER,Aff
24,Wake Forest AB,Kansas State LW,Aff
25,Kansas CS,Emory CG,Aff
26,Emory GM,Michigan AO,Aff
27,Navy CR,Wake Forest NS,Aff
28,UC Berkeley MR,Harvard CS,Aff
29,Wyoming CH,George Mason RT,Neg
30,Michigan State GS,Kansas PB,Aff
31,Binghamton CK,Emory KS,Neg
32,Liberty KS,Missouri State BK,Aff
33,Dartmouth GH,Missouri State BC,Aff
34,Georgetown GT,North Texas GV,Aff
35,Wake Forest HN,Iowa BS,Aff
36,Kansas HP,Emory LY,Aff
37,NYU JT,James Madison KP,Aff
38,Emory RY,Michigan BP,Neg
39,Louisville NJ,Dartmouth BG,Aff
40,Northwestern PS,Michigan State FM,Aff
41,Oklahoma BS,Minnesota HU,Neg
42,Michigan SS,Kansas BM,Aff
43,Kansas SS,Dartmouth PT,Aff
44,NYU MS,Harvard DS,Neg
45,North Texas VH,Georgia CP,Neg
46,Missouri State HN,Kansas AU,Neg
47,Northwestern LR,CSU Long Beach OM,Aff
48,West Georgia KK,Iowa AP,Neg
49,Kentucky RW,Baylor DL,Neg
50,Emory GS,Michigan State GL,Aff
51,Emory TT,Kansas JB,Aff
52,Western Kentucky SS,Harvard JS,Neg
53,Michigan ES,Dartmouth GH,Aff
54,Kansas OW,UTD HK,Aff
55,Northwestern MO,Indiana FT,Aff
56,UTD PR,Gonzaga RW,Aff
57,Macalester HW,Georgetown KL,Aff
58,Dartmouth MR,Northwestern AK,Neg
59,Georgia CK,Baylor BK,Aff
60,Kansas CF,George Mason WW,Neg
61,Georgetown LN,Baylor MP,Aff
62,Kansas BP,Emory AS,Neg
