,Aff,Neg,Win
0,,Southern Nazarene HS,Neg
1,Wake Forest SW,Emory CR,Neg
2,UC Berkeley MR,Michigan ES,Aff
3,Michigan SS,CSU Long Beach OM,Neg
4,Missouri State NS,Georgia CK,Neg
5,Northwestern HP,Houston SF,Neg
6,Northwestern LL,Georgetown AC,Neg
7,Texas GS,Navy LS,Aff
8,Northwestern NP,Emory CT,Neg
9,UT San Antonio CG,Georgetown LN,Neg
10,Emory AS,Western Kentucky KN,Aff
11,UTD PR,Emory CF,Aff
12,Wyoming WW,UTD HH,Neg
13,Kansas HM,Indiana FT,Neg
14,Kentucky RS,Cal State Fullerton MN,Neg
15,Emory CG,Liberty SS,Aff
16,Kansas BP,Michigan State GS,Neg
17,Kansas JB,Kentucky RW,Neg
18,CSU Long Beach ES,West Point OS,Aff
19,Northern Iowa CD,Wake Forest AB,Neg
20,Emory RY,Kansas CF,Aff
21,Northwestern AK,Kansas State RS,Neg
22,Wake Forest DE,Western Kentucky CF,Aff
23,Southern California MT,Michigan State JS,Neg
24,Michigan State GL,Georgetown GT,Aff
25,UTD KR,Iowa KS,Neg
26,Iowa AP,Harvard BS,Aff
27,Wichita State GM,Iowa BS,Aff
28,Michigan State FM,Southern California BR,Neg
29,George Mason DE,Missouri State BK,Aff
30,Harvard/Amherst SL,Emory KW,Aff
31,Kansas LS,Western Kentucky SS,Aff
32,Missouri State CG,Georgetown VP,Aff
33,Wyoming CH,Liberty TK,Neg
34,Wake Forest HN,Michigan AO,Neg
35,Minnesota HU,Emory KS,Neg
36,Kansas HL,Oklahoma DT,Aff
37,Emory LY,Kansas OW,Neg
38,Western Kentucky IS,Missouri State BC,Aff
39,Southern California BM,NYU JT,Aff
40,Louisville VJ,Kansas State AS,Neg
41,Southern California AS,Baylor DL,Neg
42,Georgia CP,George Mason RT,Neg
43,Northwestern LW,Houston IH,Aff
44,Northwestern AT,Kansas AU,Aff
45,Harvard DS,Dartmouth GH,Aff
46,Kansas HP,Stanford LL,Aff
47,Missouri State HN,Kansas BM,Neg
48,Binghamton CK,Michigan BP,Neg
49,Cal State Fullerton MA,Georgetown KL,Aff
50,Kansas CS,Macalester WC,Aff
51,Michigan AM,Dartmouth JR,Neg
52,West Georgia KM,Kansas BW,Neg
53,Rochester OR,Northern Iowa VM,Aff
54,Towson DP,Texas SH,Aff
55,Michigan BL,George Mason WW,Neg
56,Binghamton TP,Kansas ST,Neg
57,Trinity BK,Baylor MP,Neg
58,Gonzaga RW,Navy CR,Aff
59,Cal State Fullerton DC,Oklahoma BS,Neg
60,"Massachusetts, Amherst LM",Emory ST,Aff
61,UTD DD,Texas FL,Neg
62,Baylor BK,UC Berkeley BU,Neg
63,Iowa EW,Northwestern LR,Neg
64,Wake Forest LW,Emory OP,Aff
65,Kansas SS,Northwestern PS,Aff
66,Emory GS,Michigan CC,Aff
67,Liberty CL,George Mason RS,Aff
68,Dartmouth BC,UTD HK,Neg
