,Aff,Neg,Win
0,Iowa KS,Northwestern LW,Neg
1,UTD HH,George Mason DG,Neg
2,Emory AS,Michigan CS,Neg
3,Wake Forest NS,Purdue AH,Neg
4,Michigan State JS,"Harvard/Massachusetts, Amherst AL",Aff
5,Kansas AU,Emory GS,Neg
6,Minnesota HU,Emory TT,Neg
7,Northwestern AT,Kentucky RW,Neg
8,Dartmouth PT,UC Berkeley MR,Neg
9,Emory KS,Michigan ES,Aff
10,Michigan AO,Western Kentucky SS,Aff
11,George Mason RT,Missouri State HN,Neg
12,Dartmouth BC,Georgia CK,Aff
13,Harvard CS,NYU MS,Neg
14,Iowa BS,North Texas VH,Aff
15,Stanford LL,West Georgia KK,Neg
16,Kansas JB,Northwestern LR,Neg
17,UTD HK,Iowa EW,Aff
18,Baylor DL,Wichita State GM,Aff
19,Kansas VF,Louisville NJ,Aff
20,Dartmouth GH,Emory RY,Neg
21,Gonzaga RW,NYU JT,Aff
22,Kentucky GS,UC Berkeley BU,Aff
23,Georgia CP,Kansas SS,Neg
24,CSU Long Beach OM,Michigan SS,Aff
25,Harvard JS,Dartmouth MR,Neg
26,Kansas PB,Oklahoma BS,Aff
27,Kansas LS,Northwestern PS,Aff
28,UTD DD,Kansas SF,Aff
29,Kansas BM,Georgetown GT,Aff
30,Kansas ST,Binghamton CK,Neg
31,Indiana FT,Liberty KS,Neg
32,Baylor BK,Dartmouth GH,Aff
33,Dartmouth BG,Wake Forest HN,Neg
34,George Mason WW,Kansas HP,Neg
35,Emory LY,Michigan State GS,Aff
36,Texas FL,Wyoming CH,Aff
37,Harvard FK,Macalester HW,Neg
38,Kentucky ER,Emory CS,Neg
39,Baylor MP,Navy CR,Aff
40,Missouri State BK,Kansas OW,Neg
41,Michigan BP,Kansas CF,Aff
42,UTD KU,Gonzaga GW,Neg
43,James Madison KP,Kansas CS,Neg
44,Michigan CC,Wake Forest AB,Aff
45,Harvard DS,UTD PR,Aff
46,Iowa AP,Emory GM,Aff
47,Michigan State GL,Northwestern HP,Aff
48,Western Kentucky KN,Wyoming WW,Aff
49,Missouri State BC,Kansas State DR,Neg
50,Dartmouth CG,Wake Forest MP,Neg
51,Wake Forest SK,Oklahoma DT,Neg
52,UC Berkeley GS,Missouri State NS,Neg
53,Michigan State FM,Kansas BW,Neg
54,Kansas State DS,Macalester CD,Aff
55,Northwestern AK,Kansas BP,Aff
56,Georgetown KL,Northwestern LL,Neg
57,Michigan BL,Northwestern MO,Aff
58,Western Kentucky IP,Northwestern NP,Neg
59,Emory CG,Wake Forest LW,Neg
60,North Texas GV,Georgetown LN,Neg
61,James Madison OM,Liberty CL,Neg
62,Kansas State LW,Georgetown AC,Neg
