,Aff,Neg,Win
0,Michigan State JS,Northwestern PS,Neg
1,Southern California BR,Michigan CS,Neg
2,Northwestern LL,Wake Forest MP,Aff
3,Georgetown GT,Baylor LL,Neg
4,Dartmouth CG,Emory JR,Aff
5,Kentucky GS,Iowa EW,Neg
6,Binghamton CK,Michigan SS,Neg
7,Michigan State GL,Michigan ES,Aff
8,Wake Forest DE,George Mason DG,Neg
9,North Texas VH,Macalester CD,Neg
10,Kansas HL,Oklahoma BW,Aff
11,Baylor MP,Dartmouth HP,Neg
12,UC Berkeley MR,Emory LY,Neg
13,Emory PS,Michigan CC,Neg
14,Michigan AM,Stanford LL,Neg
15,Harvard AB,Western Kentucky CF,Aff
16,Harvard FK,Wake Forest SK,Neg
17,Iowa KS,Dartmouth KR,Neg
18,Southern California BM,Wake Forest SL,Neg
19,Dartmouth BJ,Kansas State DR,Neg
20,Georgia CK,Michigan State FM,Neg
21,Michigan BP,UTD HK,Aff
22,Kansas AU,Wake Forest PS,Neg
23,Emory RY,Northwestern AT,Aff
24,Wichita State GM,Emory KS,Neg
25,West Georgia KK,Emory CrTa,Aff
26,Southern California MT,Arizona State SS,Aff
27,Missouri State CG,Kansas CS,Neg
28,UTD PR,UC Berkeley BU,Aff
29,CSU Long Beach ES,Georgetown LN,Neg
30,Trinity KP,George Mason WW,Neg
31,Georgetown AC,Liberty CL,Aff
32,Dartmouth GM,Emory CG,Aff
33,Michigan AO,Kansas BW,Neg
34,Emory GM,Kansas HP,Neg
35,Georgia CP,Western Kentucky KN,Neg
36,Indiana FT,Wyoming WW,Neg
37,Harvard DS,Emory CF,Aff
38,Wake Forest AB,Western Kentucky SS,Aff
39,Northwestern LR,Kansas LS,Neg
40,Gonzaga RW,Wake Forest HN,Aff
41,Kansas HM,Emory OP,Neg
42,Kansas State AS,UC Davis MS,Aff
43,Western Kentucky IP,George Mason RS,Aff
44,CSU Long Beach OM,Kansas OW,Neg
45,Emory SW,Kansas BM,Neg
46,Macalester HW,Georgetown VP,Aff
47,Cornell LD,Wyoming CH,Neg
48,Missouri State HN,Emory AS,Neg
49,Kansas State DS,Missouri State NS,Aff
50,Michigan State GS,Michigan GJ,Aff
51,Baylor DL,Iowa BS,Aff
52,Emory GS,Iowa AP,Aff
