,Aff,Neg,Win
0,Northwestern PS,Liberty TK,Aff
1,Western Kentucky CF,Kansas State RS,Neg
2,Kansas HP,Binghamton CK,Aff
3,Wake Forest DE,Kansas AU,Neg
4,Towson DP,Wake Forest SW,Aff
5,Harvard DS,Kansas LS,Neg
6,Dartmouth JR,Liberty CL,Neg
7,George Mason RT,Iowa BS,Neg
8,Texas GS,George Mason DE,Neg
9,Northern Iowa CD,Missouri State BC,Neg
10,Michigan BL,Southern California AS,Neg
11,Michigan State GL,Michigan BP,Neg
12,UC Berkeley MR,Emory GS,Neg
13,Kansas OW,Iowa AP,Neg
14,Kansas SS,Texas FL,Neg
15,Michigan SS,Northwestern AT,Aff
16,Michigan ES,CSU Long Beach OM,Neg
17,Georgetown AC,Northwestern LR,Aff
18,Emory AS,Northwestern NP,Neg
19,Georgetown GT,Southern California BM,Aff
20,Wichita State GM,Southern California BR,Neg
21,Emory LY,UTD PR,Aff
22,UTD DD,Michigan State GS,Aff
23,UC Berkeley BU,Emory CT,Aff
24,Kansas CS,Michigan CC,Neg
25,Michigan State JS,Baylor DL,Neg
26,Iowa EW,Wake Forest LW,Aff
27,Northwestern LL,UTD HK,Aff
28,George Mason WW,Michigan AO,Neg
29,Emory RY,Kentucky RW,Neg
30,Michigan AM,UTD HH,Neg
31,"Massachusetts, Amherst LM",Michigan State FM,Aff
32,Northwestern LW,Southern California MT,Neg
33,Emory OP,Kansas BM,Aff
34,NYU JT,Georgia CK,Neg
35,Kansas JB,Iowa KS,Aff
36,Missouri State CG,Western Kentucky SS,Neg
37,Kansas ST,Emory CF,Aff
38,Georgetown LN,Cal State Fullerton MA,Neg
39,Kansas State AS,Dartmouth GH,Aff
40,Wake Forest HN,Dartmouth BC,Neg
41,Kansas BW,Gonzaga RW,Neg
42,Baylor BK,Wake Forest AB,Neg
43,Emory CR,Harvard BS,Aff
44,Emory ST,Southern Nazarene HS,Aff
45,CSU Long Beach ES,Liberty SS,Neg
46,Georgia CP,Emory CG,Aff
47,Georgetown KL,Baylor MP,Aff
48,,Rochester OR,Neg
49,UT San Antonio CG,George Mason RS,Aff
50,Kansas HL,Harvard/Amherst SL,Aff
51,Northwestern HP,Missouri State BK,Neg
52,Missouri State NS,West Georgia KM,Aff
53,Navy CR,Northwestern AK,Neg
54,Georgetown WC,Texas SH,Aff
55,Cal State Fullerton DC,Emory KW,Neg
56,UTD KR,Trinity BK,Neg
57,Cal State Fullerton MN,West Point OS,Aff
58,Kansas HM,Kentucky RS,Neg
59,Emory KS,Stanford LL,Aff
60,Houston SF,Kansas CF,Aff
61,Western Kentucky KN,Macalester WC,Aff
62,Kansas BP,Minnesota HU,Aff
63,Oklahoma DT,Wyoming WW,Neg
64,Navy LS,Wyoming CH,Neg
65,Oklahoma BS,Louisville VJ,Neg
66,Western Kentucky IS,Indiana FT,Aff
67,Houston IH,Georgetown VP,Neg
68,Binghamton TP,Northern Iowa VM,Aff
