Team,Debaters,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Kansas BW,Walawender & Brown,28.35,1.689,23.047,3.169,26.229,2.676,13,15,23.283
Baylor LC,Lassen & Chatur,28.156,2.499,27.629,3.884,26.306,3.694,7,8,20.658
Dartmouth CG,Carpenter & Goldberg,27.876,1.387,24.848,2.243,26.912,2.251,23,22,23.716
George Mason DF,Davis & Fuchs,27.834,1.472,32.434,2.508,21.262,2.75,19,19,23.418
Southern California BrRe,Bradley & Reese,27.696,1.749,28.328,2.681,27.909,2.638,15,14,22.45
Michigan SG,Gao & Sanchez,27.534,2.35,26.916,3.697,24.872,3.858,8,7,20.483
James Madison BR,Balda & Rinehart,27.531,1.683,23.012,2.683,25.897,2.537,15,17,22.482
Kansas BS,Spiers & Barreto,27.193,1.96,24.52,3.408,26.004,3.14,10,10,21.313
Emory PO,okahata & Park,27.16,1.697,24.674,2.681,28.074,2.75,15,14,22.068
Binghamton KR,King & Reza Husain,27.024,2.485,24.73,3.535,26.946,3.635,7,8,19.569
Michigan AO,Agustin & Ou,26.656,1.351,26.373,2.14,22.462,2.19,22,22,22.604
Western Kentucky FC,Carter & Fournier,26.462,1.959,24.923,3.278,26.705,3.111,10,11,20.585
Wake Forest CS,Shaw & Cline,26.429,1.903,29.167,3.334,21.921,3.043,10,12,20.719
Liberty CS,Short & Cunningham,26.373,2.528,24.544,3.784,20.384,3.73,7,7,18.788
James Madison MO,Mishra & Oehler,26.155,1.749,26.104,2.672,20.741,3.05,13,12,20.908
Dartmouth KR,Katyal & Rao,25.966,1.775,23.663,2.672,26.819,2.688,14,14,20.642
Kansas AB,Ain & Bath,25.944,1.953,24.974,3.209,23.224,2.908,10,11,20.085
Houston DF,Doratt & Fernandez,25.861,1.713,23.217,2.827,25.441,2.759,15,14,20.722
Missouri State CN,Cooper & Neal,25.537,2.307,21.165,4.189,27.345,3.994,7,7,18.616
Southern California MT,Troup & Mills,25.461,2.078,23.211,3.304,22.212,3.163,8,8,19.227
Houston TY,Traxler & Yadagiri,25.431,2.251,17.086,3.611,24.448,3.825,8,8,18.678
Northwestern HL,Hines & Lee,25.318,1.981,19.621,3.161,25.386,3.213,10,11,19.376
Emory SW,So & Wang,25.248,2.139,23.152,3.388,24.033,3.575,8,8,18.83
Southern California CS,Channa & Sood,25.243,2.055,18.235,3.326,27.428,3.053,11,12,19.078
Michigan DS,Saudek & Davidov,25.114,1.988,23.112,3.341,23.878,2.854,11,12,19.15
Texas KN,Karunadasa & Naman,25.053,2.501,21.217,4.426,27.201,3.71,6,7,17.551
North Texas JW (Jones/Wofford),Jones & Wofford,24.719,1.85,24.691,2.97,21.934,3.134,11,12,19.17
Trinity PK,Patterson & King,24.427,2.256,27.344,3.753,19.598,3.59,7,7,17.658
James Madison CP,Pelletier & Conway,24.194,1.585,19.012,2.545,23.754,2.426,18,18,19.438
Wake Forest BH,Bellmon & Hale,24.162,2.336,18.337,4.236,28.954,4.104,8,7,17.155
Georgetown PV,Valame & Pawley,23.536,1.61,20.983,2.356,23.437,2.387,17,18,18.706
Dartmouth GR,Guo & Rao,23.402,2.501,23.805,3.728,21.958,4.059,7,8,15.898
Wichita State MW,McManus & Wentling,23.242,1.558,18.833,2.629,24.54,2.359,16,19,18.567
Samford GP,Gill & Pack,23.224,2.141,20.483,3.523,21.32,3.346,9,10,16.8
Macalester HD,Harrison & Durbin,23.102,2.353,14.156,4.124,27.213,3.623,8,7,16.043
Emory FW,Feldman & Waghray,23.009,1.662,21.015,2.548,21.342,2.462,18,18,18.022
Binghamton TK,Treulich & King,22.906,2.318,20.299,3.56,21.866,3.567,8,7,15.952
Michigan State AG,Agrahara & gearring,22.729,1.978,22.8,2.846,22.42,3.218,11,10,16.794
Cal State Fullerton MW,Wiessner & Meza,22.575,2.212,21.852,3.703,24.123,3.546,8,8,15.938
Wichita State GM,Molina Chavez & Griffith,22.485,1.622,21.046,2.609,20.516,2.555,18,19,17.617
West Georgia FK,Forsyth & Kaidar-Heafetz,22.0,2.446,24.315,4.201,16.635,3.527,6,7,14.663
Kansas State SS,Sand & Sum,21.978,2.527,21.646,3.777,20.433,3.605,7,6,14.396
Dartmouth BJ,Jones & Ben-Abdallah,21.9,1.524,24.187,2.372,20.303,2.52,18,19,17.327
Emory RT,Ravikumar & Tai,21.846,1.887,17.093,3.583,21.609,2.712,12,13,16.184
Kansas HB,Harker & Boyle,21.578,2.35,22.525,3.557,18.758,3.682,7,7,14.528
Southern California ZM,Mirza & Zhang,21.49,2.485,17.354,4.083,28.251,4.142,8,7,14.035
Houston KS,Kidd & Schnitzer,21.355,1.984,13.68,3.572,25.819,3.085,11,11,15.402
Western Kentucky SS,StPeter & Schintgen,21.329,1.966,19.758,3.254,22.937,3.452,11,10,15.432
Minnesota UW,Wells & Usenov,21.116,2.466,22.41,3.928,14.491,3.652,7,8,13.717
Cal State Fullerton AM,Martinez & Ayyala,20.888,2.299,21.558,4.098,21.278,3.63,7,8,13.99
Michigan State AZ,Zi & Ansari,19.852,2.41,21.196,3.586,17.158,3.63,8,10,12.622
Northwestern AZ,Zimmerman & Arceo,19.712,2.174,18.473,3.553,20.332,3.216,10,10,13.19
George Mason RR,Rodak & Richter,19.667,2.514,23.484,3.967,16.245,4.264,7,6,12.126
Kansas State AD,Day & Ardis,19.592,2.461,19.025,3.816,18.369,3.6,8,7,12.209
Wake Forest DS,Dingley & Sampat,19.425,2.431,19.56,3.743,17.569,4.187,8,7,12.132
Southern Nazarene YH,Horton & Yarborough,19.118,2.077,23.734,3.041,8.874,3.799,11,11,12.888
Oklahoma HD,Houston & Davis,19.024,2.766,22.438,4.314,15.644,3.924,5,7,10.727
Binghamton CN,Cui & Nyberg,18.75,2.656,16.235,3.815,18.425,3.969,8,7,10.783
Kansas LD,Levin & Doyle,18.613,2.453,15.049,4.081,13.713,3.87,7,6,11.253
Kansas HM,Harker & McConnell,18.565,2.37,19.737,3.327,16.161,3.696,8,7,11.455
Kansas FS,Sharman & Foust,18.367,2.63,15.464,3.952,18.178,3.965,7,7,10.477
CSU Long Beach EG,Escobar & Gurrola,17.518,2.441,21.9,4.146,14.204,3.524,6,8,10.195
Cornell BD,Barratt & Diop,17.388,2.565,14.892,3.383,16.953,3.963,8,6,9.693
