,Aff,Neg,Win
0,Kansas WH,UTD KP,Aff
1,Iowa BW,Emory RT,Neg
2,Michigan State JS,Wake Forest CS,Neg
3,Emory GH,Northwestern PS,Neg
4,Kansas MR,Binghamton TC,Aff
5,Wichita State MW,Wake Forest DS,Neg
6,Emory BS,Michigan State BS,Neg
7,Kansas LS,Emory MR,Neg
8,Georgetown RS,Texas AF,Aff
9,Dartmouth BC,Georgetown CW,Aff
10,Houston DF,Wake Forest BM,Neg
11,Emory LY,UTD HR,Aff
12,Emory PO,Michigan BP,Neg
13,Kentucky AM,Houston TY,Aff
14,Michigan State MM,Harvard GY,Neg
15,Dartmouth CW,UTD KS,Aff
16,Northwestern DR,Georgia IP,Neg
17,Macalester HK,Michigan State GL,Aff
18,Emory GY,Houston AK,Neg
19,Gonzaga RW,Michigan SS,Neg
20,Emory ST,CSU Long Beach OM,Neg
21,UC Berkeley TB,Kansas WW,Aff
22,West Georgia DK,Kansas BS,Aff
23,Michigan ShSi,Northwestern AL,Aff
24,Kansas HP,Trinity PW,Aff
25,Baylor KB,Michigan ES,Neg
26,Iowa AP,Western Kentucky SS,Aff
27,Michigan DS,George Mason WR,Neg
28,Michigan SG,Dartmouth KR,Aff
29,Dartmouth BJ,Trinity KM,Aff
30,UC Berkeley MR,George Mason DF,Aff
31,Baylor LC,Emory CP,Neg
32,Wake Forest LS,NYU MS,Aff
33,Dartmouth CG,Michigan AO,Aff
34,Kentucky GS,Harvard AB,Aff
35,Kansas BW,Western Kentucky FC,Aff
36,Emory KP,Gonzaga DW,Aff
37,Missouri State CN,Wake Forest EP,Neg
38,Missouri State BG,Southern California BR,Neg
39,Southern California/UC Berkeley OM,Missouri State BK,Aff
40,Western Kentucky CS,Southern California BrRe,Aff
41,Cal State Fullerton AM,Southern California LK,Aff
42,Georgetown/American University (Policy Debate) VY,Wake Forest BH,Neg
43,Cal State Fullerton MW,Southern Nazarene YH,Aff
44,Macalester DD,Indiana FM,Aff
45,Oklahoma DT,North Texas JW,Neg
46,Michigan State AZ,Oklahoma AW,Aff
47,Southern California ZM,Houston KS,Neg
48,Michigan BH,Southern California CS,Neg
49,Kansas FS,Emory SW,Neg
50,Wichita State GM,Emory FW,Neg
51,Missouri State CT,Baylor LP,Aff
