,Aff,Neg,Win
0,Trinity PK,Dartmouth GR,Neg
1,Northwestern PS,James Madison CP,Neg
2,Georgetown GZ,Iowa BW,Aff
3,Michigan State GL,Cornell DL,Aff
4,Kentucky AM,UTD HR,Aff
5,UTD KP,Northwestern AL,Neg
6,Liberty CS,UTD KS,Neg
7,Dartmouth BJ,Wake Forest CS,Aff
8,Wichita State MW,Michigan SS,Neg
9,Michigan ES,Emory GH,Neg
10,George Mason DF,Binghamton CN,Aff
11,Dartmouth BC,Emory CP,Aff
12,CSU Long Beach OM,Wake Forest LS,Aff
13,Michigan State MM,Emory MR,Aff
14,Michigan BP,Georgetown CS,Neg
15,Northwestern DR,Kansas MR,Neg
16,Kansas WW,Emory LY,Aff
17,Stanford LL,Binghamton TC,Neg
18,Iowa AP,Kansas AB,Aff
19,Navy CR,Emory GY,Neg
20,Wake Forest BW,Michigan SaSh,Aff
21,Samford PR,Harvard GY,Aff
22,Georgetown PV,Wake Forest EP,Neg
23,Georgia IP,Kansas WH,Aff
24,Cal State Fullerton MW,UC Berkeley US,Neg
25,Binghamton TK,Southern California BR,Aff
26,Kentucky GS,Dartmouth GK,Neg
27,Northwestern HL,Gonzaga DW,Aff
28,Michigan AO,Texas AF,Aff
29,Emory KP,Michigan BD,Aff
30,Dartmouth CG,Wake Forest BM,Neg
31,UC Berkeley MR,George Mason WR,Aff
32,Houston TY,James Madison BR,Neg
33,Navy LS,Kentucky RS,Neg
34,Wichita State GM,Kansas LS,Neg
35,NYU MS,UC Berkeley TB,Aff
36,Liberty LT,James Madison MO,Neg
37,Southern California CS,Indiana FM,Aff
38,Arizona State SS,Houston KS,Neg
39,Minnesota UW,Southern California MT,Aff
