,Aff,Neg,Win
0,Wake Forest LS,Emory CL,Aff
1,Northwestern DR,Dartmouth BC,Neg
2,Northwestern PS,Michigan SS,Aff
3,Iowa BW,Binghamton CN,Aff
4,Michigan State JS,Liberty CL,Neg
5,Kansas AB,Binghamton TK,Aff
6,Michigan HL,Baylor LD,Neg
7,Southern California ZM,Houston DF,Neg
8,Emory KP,Georgetown CS,Aff
9,CSU Long Beach OM,Emory LY,Aff
10,Houston AK,Macalester PK,Neg
11,Michigan ES,Binghamton TC,Aff
12,Wake Forest BM,UTD HR,Aff
13,NYU MS,North Texas JW,Aff
14,Kentucky AM,Kansas SH,Aff
15,Wake Forest SS,Kentucky RS,Neg
16,UTD KS,Southern California BrRe,Neg
17,Emory CP,UTD KP,Neg
18,Kentucky GS,Trinity PK,Aff
19,Michigan State GL,Northwestern AL,Neg
20,Stanford LL,Michigan AO,Aff
21,George Mason WR,Michigan BS,Aff
22,James Madison BR,Kansas WW,Neg
23,Harvard AB,Minnesota HH,Aff
24,Wake Forest BW,George Mason DF,Aff
25,James Madison CP,Georgia IP,Neg
26,Emory MR,Kansas WH,Neg
27,Western Kentucky FC,Emory GY,Neg
28,Harvard DS,Southern California BR,Neg
29,Navy CR,Emory ST,Aff
30,Liberty FT,Dartmouth CG,Neg
31,Missouri State BK,UC Berkeley TB,Neg
32,Michigan SG,Oklahoma HD,Aff
33,Michigan State AG,George Mason RR,Aff
34,Kansas LS,Iowa AP,Neg
35,Oklahoma SW,Missouri State CR,Aff
36,UC Berkeley MR,Emory FW,Aff
37,Samford GP,West Georgia FK,Aff
38,Kansas BW,Baylor CK,Aff
39,Wichita State MW,Gonzaga DW,Neg
40,Georgetown PV,Purdue FH,Aff
41,Kansas MR,Michigan State MM,Aff
42,Texas KN,Kansas LD,Aff
43,Kansas State AD,Southern California CS,Neg
44,James Madison MO,Southern Nazarene YH,Aff
45,Michigan State AB,Northwestern HL,Neg
46,Michigan BP,West Georgia DK,Neg
47,Dartmouth GR,Wyoming/Towson CC,Aff
48,Kansas HM,Emory TW,Aff
49,Northwestern AZ,CSU Long Beach EG,Aff
50,Baylor LB,Emory PO,Neg
51,UTD UD,Texas AF,Neg
52,Wichita State GM,Kansas BS,Neg
53,Wake Forest EP,Macalester HD,Aff
54,Cornell BD,Harvard FK,Aff
55,Western Kentucky SS,Navy LS,Aff
56,Trinity MB,Western Kentucky CS,Neg
57,Cal State Fullerton AM,Cornell DL,Aff
58,Wake Forest DS,UT San Antonio BW,Neg
59,Oklahoma AT,Wake Forest BH,Neg
60,Rochester OR,Kansas State SR,Neg
