,Aff,Neg,Win
0,Wake Forest NS,Baylor LC,Neg
1,Gonzaga DW,Kentucky RS,Neg
2,UTD HR,West Georgia DK,Neg
3,Kansas WH,Emory CP,Neg
4,Kansas AB,Emory PO,Neg
5,Wichita State GM,Northwestern MO,Neg
6,Dartmouth BC,Emory LY,Neg
7,Emory FW,Wake Forest HS,Aff
8,Kansas LD,Houston DF,Neg
9,Dartmouth KR,Texas KN,Neg
10,Georgetown PV,Samford GP,Aff
11,Houston AK,Northwestern DR,Neg
12,Georgetown CS,Kentucky AE,Aff
13,Emory GY,Kansas MS,Aff
14,Northwestern AZ,Arizona State SS,Neg
15,Indiana SF,Wichita State MW,Neg
16,Binghamton TC,West Georgia FK,Aff
17,Northwestern AL,Michigan State BS,Aff
18,North Texas JW,Dartmouth BJ,Neg
19,Oklahoma HD,Dartmouth CW,Neg
20,Wake Forest LS,Michigan State MM,Neg
21,Georgetown RG,Michigan State AZ,Aff
22,Southern California BrRe,Samford HS,Aff
23,George Mason DF,Northwestern PS,Aff
24,Missouri State CN,Kansas BW,Neg
25,George Mason WR,James Madison MO,Aff
26,Liberty CS,Kansas MR,Neg
27,George Mason RR,Southern California MM,Neg
28,Emory ST,Wake Forest BW,Aff
29,Western Kentucky CS,Michigan ShSi,Neg
30,Michigan AL,Harvard FK,Aff
31,Michigan ES,Emory KP,Neg
32,Harvard DS,Emory MR,Neg
33,Texas AF,Kansas WW,Neg
34,Michigan AO,Dartmouth CG,Neg
35,Kentucky GS,Missouri State AB,Aff
36,James Madison BR,Michigan BP,Neg
37,Indiana FJ,Kansas FS,Neg
38,Michigan State AG,Western Kentucky SS,Neg
39,Iowa BW,Dartmouth MM,Aff
40,Kansas LS,Michigan SS,Aff
41,Wyoming CH,Michigan BS,Neg
42,Emory GH,CSU Long Beach OM,Neg
43,UTD KP,Wake Forest BM,Aff
44,Navy CR,Northwestern RY,Aff
45,Kansas BS,Western Kentucky FC,Neg
46,UTD KS,Oklahoma TS,Aff
47,Michigan State JS,James Madison CP,Aff
48,Dartmouth GG,Baylor DB,Neg
49,Kansas HB,Emory RT,Neg
50,Wake Forest CS,Houston KS,Neg
51,Minnesota HH,Kentucky AM,Neg
52,Michigan State GL,Wake Forest EP,Aff
