,Aff,Neg,Win
0,West Georgia DK,Wake Forest LS,Aff
1,UC Berkeley TB,Northwestern DR,Neg
2,Kansas WW,Iowa BW,Aff
3,Liberty CL,Michigan BP,Neg
4,CSU Long Beach EG,Kansas State SS,Neg
5,Emory GY,Kansas MR,Neg
6,Baylor LD,CSU Long Beach OM,Neg
7,Cornell DL,Kansas State AD,Neg
8,Kansas MF,Baylor LB,Neg
9,Dartmouth BC,Kentucky AM,Aff
10,Emory LY,Wake Forest BM,Aff
11,Michigan State MM,Emory CP,Aff
12,Michigan SS,Wake Forest BW,Aff
13,Macalester PK,UTD KS,Aff
14,Georgetown CS,NYU MS,Aff
15,Iowa AP,Emory KP,Neg
16,Minnesota HH,Houston AK,Neg
17,Emory ST,UTD UD,Aff
18,Southern Nazarene YH,Kentucky GS,Neg
19,Kansas WH,Michigan HL,Aff
20,Binghamton CN,James Madison BR,Neg
21,Binghamton TK,Harvard AB,Neg
22,Southern California BR,Kansas HM,Aff
23,Houston DF,George Mason WR,Neg
24,Georgia IP,Kansas AB,Aff
25,Southern California CS,Stanford LL,Neg
26,George Mason DF,Michigan State AG,Aff
27,Emory FW,Navy CR,Neg
28,Kentucky RS,Northwestern AZ,Aff
29,Emory PO,Wake Forest SS,Neg
30,Wyoming/Towson CC,Michigan State JS,Neg
31,West Georgia FK,Western Kentucky FC,Neg
32,Michigan AO,Michigan State AB,Aff
33,Trinity PK,Michigan SG,Aff
34,Binghamton TC,Kansas LS,Aff
35,Michigan BS,Georgetown PV,Aff
36,Emory TW,James Madison CP,Neg
37,UTD HR,Dartmouth GR,Aff
38,Gonzaga DW,Harvard DS,Neg
39,North Texas JW,James Madison MO,Aff
40,Macalester HD,Michigan State GL,Neg
41,Northwestern AL,Wichita State MW,Aff
42,Texas AF,Emory MR,Neg
43,UTD KP,UC Berkeley MR,Aff
44,Southern California BrRe,Samford GP,Aff
45,Kansas SH,Oklahoma SW,Aff
46,Emory CL,Kansas BW,Aff
47,Kansas BS,Oklahoma AT,Aff
48,Baylor CK,Rochester OR,Aff
49,Missouri State CR,Western Kentucky SS,Aff
50,UT San Antonio BW,Wichita State GM,Neg
51,Navy LS,Southern California ZM,Neg
52,Northwestern HL,Wake Forest DS,Aff
53,Harvard FK,Missouri State BK,Neg
54,Kansas State SR,Texas KN,Neg
55,George Mason RR,Cal State Fullerton AM,Aff
56,Purdue FH,Trinity MB,Aff
57,Dartmouth CG,Michigan ES,Neg
58,Kansas LD,Cornell BD,Aff
59,Wake Forest BH,Liberty FT,Neg
60,Western Kentucky CS,Wake Forest EP,Neg
