,Aff,Neg,Win
0,UTD KP,Dartmouth CG,Aff
1,Missouri State BK,Iowa BW,Neg
2,Wake Forest CS,UC Berkeley MR,Aff
3,Northwestern PS,Kansas MR,Neg
4,Binghamton TC,Macalester HK,Aff
5,Emory RT,Kansas LS,Neg
6,Harvard GY,Dartmouth BC,Aff
7,Georgetown CW,Dartmouth BJ,Aff
8,Michigan BP,Dartmouth CW,Aff
9,Emory MR,UC Berkeley TB,Aff
10,Michigan SS,Kansas WH,Neg
11,Wake Forest BM,Georgetown RS,Aff
12,Houston AK,Emory LY,Neg
13,CSU Long Beach OM,Emory GH,Neg
14,Georgia IP,Kentucky AM,Neg
15,UTD KS,Michigan ShSi,Neg
16,Michigan State GL,Kentucky GS,Aff
17,Texas AF,Emory KP,Aff
18,Houston TY,Iowa AP,Neg
19,Kansas WW,Gonzaga RW,Aff
20,Michigan State BS,Kansas BW,Aff
21,Michigan ES,Kansas HP,Neg
22,UTD HR,Wake Forest LS,Neg
23,Emory CP,Michigan SG,Aff
24,George Mason WR,Emory PO,Aff
25,Wake Forest EP,Emory ST,Aff
26,Kansas BS,Michigan State MM,Neg
27,Southern California CS,West Georgia DK,Neg
28,Emory FW,Northwestern DR,Neg
29,Houston KS,Emory GY,Neg
30,NYU MS,Dartmouth MM,Aff
31,Northwestern AL,Macalester DD,Aff
32,Harvard AB,Wichita State MW,Aff
33,Gonzaga DW,Missouri State CT,Aff
34,Trinity KM,Georgetown/American University (Policy Debate) VY,Neg
35,Southern California BR,Western Kentucky CS,Aff
36,George Mason DF,Houston DF,Aff
37,Michigan AO,Michigan State AZ,Aff
38,Western Kentucky FC,Cal State Fullerton AM,Neg
39,Dartmouth KR,Michigan DS,Aff
40,Trinity PW,Cal State Fullerton MW,Neg
41,Wake Forest BH,Southern California/UC Berkeley OM,Aff
42,Emory SW,Baylor LC,Aff
43,Western Kentucky SS,Baylor KB,Aff
44,North Texas JW,Missouri State CN,Aff
45,Wake Forest DS,Michigan State JS,Neg
46,Southern California BrRe,Kansas FS,Aff
47,Oklahoma AW,Southern California ZM,Neg
48,Southern Nazarene YH,Emory BS,Neg
49,Southern California LK,Wichita State GM,Neg
50,Indiana FM,Michigan BH,Neg
