,Aff,Neg,Win
0,Kansas MR,Michigan BP,Neg
1,Dartmouth BC,Kansas LS,Aff
2,Northwestern DR,Emory CP,Aff
3,Emory GH,CSU Long Beach OM,Aff
4,Michigan State JS,Kentucky AM,Neg
5,Michigan State GL,Michigan ES,Aff
6,Northwestern PS,Harvard DS,Aff
7,Wake Forest LS,UC Berkeley MR,Aff
8,NYU MS,Emory LY,Neg
9,West Georgia DK,Michigan SS,Neg
10,Wake Forest BM,Georgetown CS,Neg
11,Iowa BW,Emory MR,Neg
12,Harvard AB,Binghamton TC,Neg
13,Macalester PK,Binghamton KR,Aff
14,Dartmouth CaGu,Emory BS,Aff
15,Emory KP,Michigan DS,Aff
16,Northwestern AL,Texas AF,Neg
17,Kansas WW,James Madison BR,Aff
18,Michigan State BS,UC Berkeley TB,Neg
19,Wake Forest BW,UC Berkeley US,Aff
20,Kansas WH,Gonzaga DW,Aff
21,Iowa AP,Kentucky GS,Aff
22,Cornell DK,Dartmouth CG,Neg
23,Dartmouth KR,Northwestern AZ,Aff
24,James Madison CP,Emory RT,Neg
25,Emory OS,Southern Nazarene YH,Aff
26,Emory FW,Michigan AO,Neg
27,Georgetown PV,Dartmouth BJ,Neg
28,Harvard FK,CSU Long Beach EG,Aff
29,Cornell BD,Minnesota UW,Neg
30,Dartmouth MM,Cal State Fullerton MM,Aff
31,Minnesota HK,Cal State Fullerton DR,Aff
