,Aff,Neg,Win
0,Indiana FM,Liberty CS,Neg
1,Northwestern PS,Emory GH,Neg
2,Stanford LL,Iowa BW,Neg
3,Kansas LS,Michigan SS,Neg
4,Houston TY,UTD HR,Neg
5,Kansas MR,UTD KP,Aff
6,UTD KS,Liberty LT,Aff
7,Wake Forest CS,Dartmouth BC,Neg
8,Northwestern HL,Cornell DL,Aff
9,Michigan BP,Dartmouth CG,Aff
10,Georgetown PV,Rochester OR,Aff
11,Wake Forest LS,Emory KP,Aff
12,Wake Forest BW,Georgetown CS,Neg
13,Kentucky RS,UC Berkeley TB,Neg
14,Samford PR,Southern California CS,Aff
15,Wichita State GM,Trinity PK,Aff
16,Iowa AP,Northwestern DR,Neg
17,Houston KS,Michigan BD,Neg
18,Dartmouth GR,James Madison CP,Neg
19,Emory CP,Georgetown GZ,Aff
20,Southern California MT,Northwestern AL,Neg
21,Kentucky GS,Michigan ES,Neg
22,NYU MS,Binghamton TC,Aff
23,UC Berkeley MR,James Madison MO,Aff
24,Navy LS,Binghamton TK,Neg
25,Michigan State MM,Texas AF,Aff
26,Kansas AB,Navy CR,Neg
27,Wake Forest BM,Georgia IP,Neg
28,Kansas WW,Harvard GY,Aff
29,James Madison BR,Michigan AO,Neg
30,Gonzaga DW,Michigan SaSh,Neg
31,Dartmouth BJ,Cal State Fullerton MW,Neg
32,Michigan State GL,Emory GY,Aff
33,Kansas WH,CSU Long Beach OM,Neg
34,UC Berkeley US,Binghamton CN,Aff
35,Wake Forest EP,Kentucky AM,Neg
36,Dartmouth GK,Arizona State SS,Aff
37,George Mason WR,Emory MR,Neg
38,Southern California BR,Minnesota UW,Aff
39,Emory LY,George Mason DF,Aff
