,Aff,Neg,Win
0,Kansas State AD,UTD KS,Neg
1,Harvard AB,NYU MS,Neg
2,Emory KP,Michigan State AG,Aff
3,Northwestern DR,Emory LY,Neg
4,Southern California BrRe,Harvard DS,Aff
5,Wake Forest BW,Macalester HD,Aff
6,Emory GY,Kansas SA,Aff
7,Michigan BP,Michigan State BS,Aff
8,James Madison CP,Michigan AO,Neg
9,Emory CP,George Mason DF,Neg
10,Liberty CL,Texas AF,Aff
11,Michigan State MM,Kansas MR,Neg
12,Kansas HB,North Texas JW,Aff
13,Houston AS,Samford GP,Aff
14,Oklahoma LM,Wake Forest HN,Neg
15,Texas NS,Northwestern AL,Neg
16,Kentucky RS,Minnesota HU,Aff
17,Kansas WW,Dartmouth KR,Aff
18,Wake Forest BM,Kansas SH,Aff
19,Dartmouth CG,Michigan ES,Neg
20,Wake Forest LS,Missouri State BN,Aff
21,Purdue AH,Kansas EM,Aff
22,Indiana FM,Binghamton TP,Aff
23,Binghamton KR,Kansas BW,Neg
24,Navy LS,Wichita State MW,Neg
25,UTD HR,Dartmouth BC,Neg
26,UTD KP,Macalester/Michigan WG,Aff
27,Dartmouth ML,Emory FW,Aff
28,Michigan DS,Wake Forest EP,Neg
29,Kentucky AM,Georgetown PV,Aff
30,George Mason WR,Kansas WH,Neg
31,Kansas LM,Michigan State GL,Neg
32,Minnesota PW,Southern California BR,Neg
33,Michigan State JS,Binghamton TC,Neg
34,Baylor LD,Emory PO,Aff
35,Kentucky GS,Dartmouth CaGu,Neg
36,NYU JT,Arizona State SS,Aff
37,Houston KY,West Georgia DK,Neg
38,Dartmouth BJ,Houston DF,Neg
39,Stanford LL,UC Berkeley TB,Aff
40,Macalester PK,Georgetown CS,Aff
41,CSU Long Beach OM,Kansas LS,Aff
42,Emory SW,Wichita State GM,Aff
43,Emory GH,Michigan SS,Aff
44,Harvard FK,Kansas State SR,Neg
45,Southern Nazarene BS,Kansas BP,Neg
46,Southern California MT,Northwestern HL,Neg
47,Emory MR,Iowa AP,Neg
48,Northern Iowa VD,Kansas State SS,Neg
49,Dartmouth GM,Kansas HM,Aff
50,Iowa BW,Navy CR,Aff
