,Aff,Neg,Win
0,Harvard DS,Northwestern AL,Aff
1,Michigan State GL,Northwestern DR,Neg
2,Emory GH,NYU MS,Aff
3,Kentucky AM,Michigan BP,Neg
4,UC Berkeley MR,Kansas MR,Neg
5,Kansas LS,Emory CP,Aff
6,CSU Long Beach OM,Georgetown PV,Aff
7,Wake Forest LS,Kansas WH,Aff
8,Emory KP,Michigan SS,Neg
9,Georgetown CS,Northwestern PS,Aff
10,West Georgia DK,Dartmouth CG,Aff
11,UC Berkeley TB,Emory BS,Neg
12,Iowa BW,Wake Forest BM,Aff
13,Michigan ES,Macalester PK,Neg
14,Texas AF,Emory LY,Neg
15,UC Berkeley US,Binghamton TC,Neg
16,Emory MR,Dartmouth BC,Neg
17,Dartmouth CaGu,Southern Nazarene YH,Aff
18,Iowa AP,Emory FW,Aff
19,Kansas WW,Northwestern AZ,Aff
20,Cornell BD,James Madison CP,Neg
21,James Madison BR,Michigan State JS,Aff
22,Michigan AO,Dartmouth KR,Neg
23,Dartmouth BJ,Emory RT,Aff
24,Emory OS,Binghamton KR,Neg
25,Michigan State AZ,Gonzaga DW,Neg
26,Minnesota HK,Harvard AB,Neg
27,Cornell DK,Michigan DS,Neg
28,Cal State Fullerton MM,Michigan State BS,Neg
29,Minnesota UW,Wake Forest BW,Neg
30,Harvard FK,Kentucky GS,Neg
31,CSU Long Beach EG,Dartmouth MM,Aff
32,Northwestern RY,Cal State Fullerton DR,Neg
