,Aff,Neg,Win
0,Kansas MR,George Mason DF,Aff
1,Purdue FH,Southern California BR,Neg
2,Kansas BW,Emory GH,Neg
3,Houston DF,Oklahoma AT,Aff
4,Dartmouth BC,Harvard DS,Aff
5,Trinity MB,Michigan BS,Neg
6,Emory PO,Northwestern DR,Neg
7,Southern California CS,Oklahoma HD,Aff
8,Kentucky AM,Wake Forest BH,Aff
9,Kansas HM,Michigan SG,Neg
10,Wake Forest SS,Binghamton TC,Neg
11,Harvard AB,Kansas State AD,Aff
12,Emory LY,Texas KN,Aff
13,UTD UD,Iowa BW,Neg
14,Navy CR,Michigan BP,Neg
15,James Madison BR,UT San Antonio BW,Aff
16,Georgetown CS,Dartmouth GR,Aff
17,Harvard FK,Southern California BrRe,Neg
18,Kansas AB,Minnesota HH,Neg
19,James Madison CP,Navy LS,Aff
20,Kansas LS,George Mason RR,Aff
21,Michigan HL,Gonzaga DW,Neg
22,Wichita State MW,Northwestern PS,Neg
23,Michigan SS,Southern California ZM,Aff
24,Oklahoma SW,Emory ST,Neg
25,Stanford LL,CSU Long Beach OM,Neg
26,Liberty FT,Binghamton CN,Neg
27,Wake Forest LS,Samford GP,Aff
28,Kansas LD,Northwestern AL,Neg
29,Emory CL,Wake Forest BM,Neg
30,Michigan AO,Cornell DL,Aff
31,Emory CP,Western Kentucky FC,Aff
32,Kansas State SR,UTD HR,Neg
33,Baylor CK,Emory GY,Neg
34,Kansas BS,Liberty CL,Neg
35,Emory MR,Binghamton TK,Aff
36,Missouri State BK,UTD KS,Neg
37,Emory TW,NYU MS,Neg
38,UC Berkeley MR,Rochester OR,Aff
39,Kansas WW,Wichita State GM,Aff
40,Macalester HD,Emory KP,Neg
41,Western Kentucky SS,George Mason WR,Neg
42,Dartmouth CG,CSU Long Beach EG,Aff
43,UC Berkeley TB,Trinity PK,Aff
44,Cornell BD,Kentucky RS,Neg
45,Northwestern AZ,Houston AK,Neg
46,Georgia IP,Western Kentucky CS,Aff
47,UTD KP,Cal State Fullerton AM,Aff
48,Wyoming/Towson CC,Baylor LD,Neg
49,Emory FW,Iowa AP,Neg
50,Kansas SH,Wake Forest DS,Aff
51,Kentucky GS,James Madison MO,Aff
52,Northwestern HL,Macalester PK,Neg
53,Michigan State AB,Wake Forest BW,Neg
54,West Georgia FK,Kansas MF,Aff
55,Michigan ES,Michigan State JS,Aff
56,Southern Nazarene YH,Wake Forest EP,Aff
57,Michigan State AG,West Georgia DK,Neg
58,Texas AF,Missouri State CR,Aff
59,Michigan State MM,Baylor LB,Aff
60,North Texas JW,Kansas WH,Neg
61,Georgetown PV,Michigan State GL,Neg
