,Aff,Neg,Win
0,Indiana FM,Wake Forest LS,Neg
1,Kansas MR,Emory PO,Aff
2,Kansas HB,Southern California BrRe,Neg
3,Emory GH,Stanford LL,Aff
4,Northern Iowa VD,Wichita State GM,Neg
5,Michigan BP,Iowa BW,Aff
6,Kansas State SS,Kansas BP,Aff
7,Kansas State AD,Macalester HD,Neg
8,Dartmouth BC,Kentucky AM,Aff
9,Binghamton TC,James Madison CP,Aff
10,Kansas HM,Emory RT,Neg
11,Iowa KS,Samford GP,Aff
12,Northwestern DR,Dartmouth CaGu,Aff
13,Arizona State SS,Binghamton KR,Neg
14,Emory LY,Dartmouth CG,Aff
15,Harvard FK,Houston AS,Neg
16,Georgetown CS,Liberty CL,Aff
17,Michigan State GL,Kansas WH,Aff
18,Dartmouth ML,Kansas BW,Neg
19,Binghamton TP,Harvard DS,Neg
20,Michigan SS,Kansas SA,Neg
21,Southern Nazarene BS,George Mason WR,Neg
22,Michigan ES,Minnesota PW,Neg
23,Wake Forest HN,Michigan DS,Neg
24,Kentucky RS,Houston KY,Neg
25,Wake Forest EP,Iowa AP,Neg
26,Macalester PK,George Mason DF,Aff
27,Purdue AH,Houston DF,Neg
28,Michigan State MM,Michigan AO,Aff
29,Oklahoma LM,Missouri State BN,Neg
30,CSU Long Beach OM,UTD HR,Aff
31,NYU JT,Kansas SH,Neg
32,Emory GY,Baylor LD,Aff
33,Emory CP,Kansas LM,Aff
34,Navy LS,Minnesota HU,Aff
35,Kansas LS,Wake Forest BW,Aff
36,Kansas State SR,Harvard AB,Neg
37,NYU MS,Northwestern AL,Neg
38,Kansas EM,Dartmouth KR,Neg
39,Dartmouth BJ,Macalester/Michigan WG,Neg
40,Texas AF,Southern California BR,Aff
41,Emory FW,Texas NS,Neg
42,Wake Forest BM,Navy CR,Aff
43,West Georgia DK,UTD KP,Aff
44,Wichita State MW,Southern California MT,Neg
45,Kansas WW,North Texas JW,Aff
46,Emory SW,Northwestern HL,Neg
47,Emory KP,UC Berkeley TB,Aff
48,Dartmouth GM,Emory MR,Neg
49,Georgetown PV,James Madison MO,Neg
50,Michigan State AG,Kentucky GS,Neg
51,James Madison BR,Michigan State JS,Neg
52,Michigan State BS,UTD KS,Aff
