,Aff,Neg,Win
0,Kansas LM,Dartmouth GM,Neg
1,Missouri State BN,Emory KP,Neg
2,Emory MR,Kansas WW,Aff
3,Kentucky GS,Emory SW,Aff
4,Texas NS,West Georgia DK,Neg
5,UC Berkeley TB,Wichita State MW,Aff
6,Southern California MT,Michigan State BS,Neg
7,North Texas JW,Wake Forest EP,Aff
8,UTD KP,Emory FW,Aff
9,Macalester/Michigan WG,Wake Forest BM,Neg
10,UTD KS,Dartmouth BJ,Aff
11,Dartmouth KR,Texas AF,Neg
12,Navy CR,Kansas EM,Aff
13,Iowa AP,NYU MS,Aff
14,Southern California BR,Kansas State SR,Aff
15,Minnesota HU,Kansas LS,Neg
16,Wake Forest LS,Emory CP,Aff
17,Wake Forest BW,Navy LS,Aff
18,Baylor LD,NYU JT,Aff
19,Kansas SH,Emory GY,Aff
20,UTD HR,Oklahoma LM,Aff
21,Northwestern HL,CSU Long Beach OM,Neg
22,Houston DF,Michigan State MM,Neg
23,Minnesota PW,Purdue AH,Aff
24,Michigan DS,Macalester PK,Neg
25,Harvard AB,James Madison BR,Aff
26,Kansas BW,Kentucky RS,Neg
27,George Mason DF,Wake Forest HN,Aff
28,Michigan AO,Southern Nazarene BS,Aff
29,George Mason WR,Michigan ES,Neg
30,Kansas SA,Binghamton TP,Aff
31,Harvard DS,Michigan SS,Neg
32,Houston KY,Dartmouth ML,Aff
33,Houston AS,Michigan State GL,Neg
34,Kansas WH,Harvard FK,Aff
35,Binghamton KR,Georgetown CS,Neg
36,Liberty CL,Arizona State SS,Aff
37,Samford GP,Emory LY,Neg
38,Dartmouth CaGu,Iowa KS,Aff
39,Emory RT,Northwestern DR,Neg
40,Kansas BP,Binghamton TC,Neg
41,Dartmouth CG,Kansas HM,Aff
42,Macalester HD,Dartmouth BC,Neg
43,Kentucky AM,Kansas State AD,Aff
44,Iowa BW,Northern Iowa VD,Aff
45,James Madison MO,Michigan State AG,Aff
46,Wichita State GM,Michigan BP,Neg
47,James Madison CP,Kansas State SS,Aff
48,Michigan State JS,Georgetown PV,Aff
49,Southern California BrRe,Emory GH,Neg
50,Northwestern AL,Kansas MR,Neg
51,Stanford LL,Kansas HB,Aff
52,Emory PO,Indiana FM,Aff
