,Aff,Neg,Win
0,Houston KS,Liberty CS,Neg
1,Michigan SS,Dartmouth BC,Neg
2,Iowa BW,Northwestern PS,Neg
3,Georgetown CS,Michigan State GL,Neg
4,UTD HR,Georgetown GZ,Aff
5,Cornell DL,UTD KP,Neg
6,UTD KS,Michigan ES,Aff
7,Wake Forest CS,Arizona State SS,Aff
8,Indiana FM,Stanford LL,Neg
9,Kansas MR,Michigan State MM,Aff
10,Emory GH,CSU Long Beach OM,Aff
11,Wake Forest BM,Kansas WW,Neg
12,Wake Forest EP,NYU MS,Neg
13,Northwestern AL,Kentucky AM,Neg
14,Emory CP,Wichita State MW,Aff
15,Binghamton TC,Wake Forest BW,Neg
16,Kansas AB,Kentucky GS,Neg
17,Emory LY,Northwestern HL,Aff
18,Emory GY,Michigan AO,Neg
19,Wake Forest LS,Georgia IP,Neg
20,UC Berkeley TB,Iowa AP,Neg
21,UC Berkeley US,Samford PR,Aff
22,James Madison CP,UC Berkeley MR,Neg
23,Dartmouth GK,Michigan BP,Neg
24,Gonzaga DW,Northwestern DR,Aff
25,George Mason WR,Rochester OR,Aff
26,Kansas WH,Navy LS,Aff
27,Southern California BR,George Mason DF,Aff
28,Harvard GY,Minnesota UW,Aff
29,Michigan SaSh,Wichita State GM,Aff
30,James Madison MO,Georgetown PV,Aff
31,Michigan BD,Navy CR,Neg
32,Texas AF,Dartmouth BJ,Aff
33,Kentucky RS,Dartmouth CG,Aff
34,Kansas LS,Emory KP,Aff
35,Emory MR,Binghamton TK,Aff
36,Dartmouth GR,Southern California CS,Neg
37,James Madison BR,Cal State Fullerton MW,Aff
38,Southern California MT,Liberty LT,Aff
39,Binghamton CN,Houston TY,Neg
