Team,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
George Mason RS,15.895,0.998,18.974,1.22,14.516,1.302,13,15,12.901
Cal State Fullerton CD,15.893,1.087,15.638,1.449,16.458,1.547,8,7,12.633
Central Oklahoma EW,15.861,1.16,8.652,2.727,19.398,1.498,7,8,12.381
Harvard CS,15.381,1.076,9.789,1.884,19.593,1.407,11,11,12.152
North Texas VH,15.3,1.214,15.397,1.564,14.4,1.894,7,6,11.657
Trinity BK,15.227,1.164,14.519,1.851,17.353,1.562,7,8,11.735
Emory KW,15.214,0.973,15.058,1.454,14.85,1.304,11,12,12.295
Southern Nazarene HS,15.213,1.152,17.432,1.456,14.411,1.776,8,6,11.757
Northwestern HP,14.971,0.925,13.781,1.226,17.01,1.09,20,20,12.196
Kansas LV,14.931,1.226,15.31,1.633,13.201,1.774,6,7,11.252
Emory CG,14.905,0.92,13.678,1.21,16.164,1.051,18,17,12.144
Indiana FT,14.67,0.935,16.706,1.066,14.478,1.251,20,18,11.864
Macalester CD,14.547,1.176,19.247,1.511,12.296,1.783,7,7,11.02
Utah PP,14.509,1.151,10.863,1.884,18.648,1.466,8,7,11.057
Kansas State LW,13.906,1.203,15.111,1.684,15.756,1.689,7,6,10.298
West Point OS,13.669,1.096,17.929,1.33,11.623,1.697,11,10,10.38
Harvard/Amherst SL,13.145,1.251,16.685,1.53,7.639,2.624,7,7,9.393
Binghamton PT,13.094,1.094,10.717,1.912,16.016,1.339,11,9,9.811
West Georgia KM,12.918,1.304,12.307,2.133,15.352,1.687,7,7,9.007
Kansas HM,10.731,1.194,14.393,1.356,4.874,2.504,11,9,7.148
Kansas State DS,10.39,1.03,13.312,1.171,6.374,1.773,14,12,7.301
Oklahoma BW,9.757,1.431,10.0,2.057,11.108,1.746,6,8,5.465
Northern Iowa CD,8.965,1.363,4.768,2.375,14.606,1.629,8,7,4.878
James Madison KP,8.89,1.269,11.34,1.59,10.57,1.646,11,8,5.082
Missouri State BC,8.668,1.554,7.196,2.685,11.014,1.95,5,7,4.007
Harvard FK,2.842,1.886,2.859,2.322,3.698,2.375,9,9,-2.817
Oklahoma DF,2.624,1.859,5.937,2.177,5.134,2.597,8,6,-2.953
