Team,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
UC Berkeley GS,24.245,1.639,36.067,4.342,9.925,3.482,4,4,19.329
Michigan AR,23.381,1.582,27.297,2.16,26.426,2.389,4,4,18.636
Baylor BK,23.269,1.578,19.055,2.386,29.36,2.355,4,4,18.536
Michigan PF,23.184,1.541,35.956,4.362,10.298,3.546,4,4,18.56
Emory CS,22.85,1.581,27.864,2.441,16.018,2.651,4,4,18.105
Kansas PB,22.453,1.608,17.272,2.401,24.532,2.668,4,4,17.628
Indiana TF,22.275,1.52,20.637,2.234,27.365,2.205,4,4,17.716
Baylor PA,22.269,1.515,22.77,2.257,20.131,2.546,4,4,17.723
Wake Forest PT,22.101,1.559,21.88,2.284,25.909,2.339,4,4,17.424
Georgetown VX,21.998,1.492,19.547,2.471,27.258,2.277,4,4,17.522
Wake Forest LW,21.965,1.414,25.163,2.115,22.673,2.054,4,4,17.723
Kansas State SF,21.778,1.407,20.169,2.224,20.119,2.287,4,4,17.557
Michigan AD,21.12,1.748,14.971,2.328,23.314,2.481,4,4,15.875
Wyoming HW,21.014,1.572,27.03,2.583,18.234,2.236,4,4,16.299
Kansas PL,20.977,1.413,25.895,2.321,17.43,2.098,4,4,16.739
Wake Forest HN,20.861,1.539,19.613,2.103,21.434,2.456,4,4,16.243
Michigan BL,20.795,1.463,26.657,2.247,15.389,2.293,4,4,16.407
Gonzaga MP,20.686,1.521,17.802,2.291,27.969,2.543,4,4,16.124
Dartmouth RS,20.459,1.432,17.286,2.229,20.998,2.124,4,4,16.163
Emory CrSm,20.058,1.636,24.612,2.676,12.525,2.565,4,4,15.149
Wake Forest NS,19.992,1.506,27.815,2.512,11.802,3.513,4,4,15.475
Michigan BB,19.979,1.619,17.493,2.327,22.961,2.695,4,4,15.121
Kansas FH,19.552,1.617,27.124,2.312,11.632,3.762,4,4,14.7
Texas GS,19.515,1.598,15.737,2.476,19.415,2.778,4,4,14.722
Iowa SB,19.456,1.526,14.859,2.316,24.028,2.087,4,4,14.879
Emory CF,19.166,1.632,21.579,2.507,19.808,2.788,4,4,14.27
Dartmouth HH,18.911,1.612,27.133,2.776,12.182,3.813,4,4,14.075
MoState DS,18.85,1.715,18.506,2.402,15.286,2.929,4,3,13.706
Emory ChSt,18.829,1.729,18.443,2.648,21.535,2.776,4,4,13.641
Trinity BK,18.63,1.502,19.097,2.183,21.158,2.369,4,4,14.124
Southern California LP,18.26,1.48,19.827,2.324,20.922,2.133,4,4,13.821
Dartmouth BJ,18.099,1.586,25.094,2.559,19.083,2.268,4,4,13.339
Dartmouth DO,18.091,1.642,20.581,2.539,20.598,2.073,3,4,13.167
Kansas State DD,17.796,1.516,24.038,2.371,10.896,3.704,4,4,13.25
Iowa LS,17.511,1.471,16.903,2.416,16.713,2.109,4,4,13.1
Trinity CO,17.027,1.513,19.633,2.384,16.634,2.135,4,4,12.488
Emory ST,16.942,1.47,20.826,2.371,17.75,2.17,4,4,12.531
Michigan BP,16.397,1.568,18.348,2.137,9.995,3.442,4,4,11.693
West Georgia GK,15.997,1.575,14.757,2.537,11.421,2.293,4,4,11.271
MoState BM,15.454,1.599,16.133,2.306,17.928,2.739,4,4,10.657
Washburn LR,15.438,1.625,7.131,2.946,22.057,2.244,4,4,10.564
MoState CP,14.976,1.622,5.325,2.849,25.949,2.768,4,3,10.11
MoState DH,14.159,1.742,8.099,3.184,20.89,2.291,4,4,8.932
Baylor LM,13.926,1.578,12.154,2.301,21.363,2.769,4,4,9.19
Georgetown RM,13.922,1.547,8.936,3.112,20.411,2.484,4,4,9.282
Utah BH,13.606,1.596,15.738,2.677,11.293,2.298,4,4,8.817
Western Kentucky HM,13.088,1.621,19.466,2.245,10.815,3.489,4,4,8.224
West Georgia HL,12.809,1.786,17.673,2.936,8.864,3.033,3,4,7.45
Indiana DJ,12.726,1.718,20.804,2.717,8.01,3.096,4,4,7.573
Utah VP,11.131,1.684,7.476,3.013,13.766,2.451,4,4,6.081
Baylor MM,11.078,1.85,11.224,3.727,18.077,2.302,3,4,5.528
Oklahoma PS,10.229,1.638,7.169,2.946,13.247,2.324,4,4,5.314
Gonzaga AG,9.761,1.666,6.659,3.166,14.762,2.505,4,4,4.762
Kansas LL,8.962,1.675,16.534,2.267,6.661,2.944,4,4,3.936
Wyoming LW,7.794,2.857,11.508,3.767,12.608,4.054,2,2,-0.777
Emory GW,5.516,2.44,10.11,3.343,10.933,3.471,4,3,-1.805
