Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_2,nu,2,Michigan State FM,UTD HK,Neg,29.253,29.142,-0.11,29.112,29.227,0.115
nu_2,nu,2,Northwestern PS,Harvard AB,Aff,33.558,33.606,0.048,27.982,27.925,-0.058
nu_2,nu,2,Kansas AU,Michigan ES,Aff,32.453,32.604,0.151,35.204,35.044,-0.16
nu_2,nu,2,Harvard FK,Georgetown LN,Neg,2.512,2.509,-0.003,22.233,22.234,0.001
nu_2,nu,2,Kansas HL,Missouri State CG,Aff,19.342,19.512,0.17,21.04,20.764,-0.276
nu_2,nu,2,Michigan State GL,Michigan CS,Aff,35.878,35.909,0.031,28.193,28.159,-0.033
nu_2,nu,2,Emory GM,Michigan SS,Aff,31.119,31.431,0.312,37.745,37.512,-0.233
nu_2,nu,2,Wake Forest SK,Georgetown GT,Neg,18.662,18.585,-0.077,25.688,25.726,0.038
nu_2,nu,2,Michigan HM,Georgetown VP,Neg,22.027,21.746,-0.281,19.305,19.612,0.307
nu_2,nu,2,Emory RY,Baylor DL,Aff,32.152,32.259,0.107,31.707,31.601,-0.106
nu_2,nu,2,Wake Forest HN,Emory GS,Neg,26.215,26.213,-0.002,42.062,42.064,0.003
nu_2,nu,2,Kansas State DR,Baylor MP,Aff,21.182,21.324,0.142,17.837,17.752,-0.085
nu_2,nu,2,Michigan AM,Emory SW,Neg,22.652,22.477,-0.176,21.028,21.281,0.253
nu_2,nu,2,Binghamton CK,Michigan State GS,Aff,36.826,36.859,0.033,29.537,29.503,-0.034
nu_2,nu,2,Baylor BK,Western Kentucky KN,Aff,25.149,25.249,0.1,23.708,23.592,-0.116
nu_2,nu,2,Kansas State DS,Macalester HW,Neg,10.34,10.328,-0.011,23.887,23.899,0.012
nu_2,nu,2,UC Berkeley MR,Emory OP,Aff,34.025,34.064,0.039,27.153,27.08,-0.073
nu_2,nu,2,Harvard DS,Northwestern LR,Neg,30.717,30.679,-0.038,37.868,37.904,0.036
nu_2,nu,2,Iowa KS,Missouri State HN,Neg,23.814,23.64,-0.175,21.048,21.311,0.263
nu_2,nu,2,Georgetown KL,Kansas State AS,Neg,19.784,19.693,-0.091,24.659,24.776,0.117
nu_2,nu,2,Michigan CC,CSU Long Beach ES,Aff,31.105,31.111,0.006,17.873,17.865,-0.008
nu_2,nu,2,Kansas CS,Michigan BP,Neg,24.227,24.225,-0.002,41.976,41.977,0.001
nu_2,nu,2,Wake Forest AB,Georgetown AC,Neg,26.108,26.096,-0.011,37.813,37.824,0.011
nu_2,nu,2,Kansas HM,Emory AS,Neg,8.769,8.768,-0.002,28.465,28.465,0.0
nu_2,nu,2,Emory CG,Northwestern LL,Neg,14.758,14.747,-0.01,27.089,27.098,0.009
nu_2,nu,2,Michigan State JS,Emory LY,Neg,27.348,27.314,-0.034,34.422,34.456,0.033
nu_2,nu,2,West Georgia KK,Iowa EW,Aff,30.253,30.456,0.203,30.39,30.277,-0.113
nu_2,nu,2,Wake Forest DE,Northwestern AT,Neg,26.438,26.397,-0.042,33.011,33.051,0.04
nu_2,nu,2,Emory CF,Indiana FT,Aff,25.455,25.48,0.025,14.442,14.42,-0.021
nu_2,nu,2,Kentucky GS,Iowa BS,Neg,31.174,30.942,-0.232,23.244,23.491,0.247
nu_3,nu,3,West Georgia KK,Kansas LS,Neg,30.456,30.44,-0.016,42.589,42.599,0.011
nu_3,nu,3,Wake Forest MP,Kansas AU,Neg,27.83,27.707,-0.123,32.604,32.657,0.053
nu_3,nu,3,Georgetown GT,Emory CF,Neg,25.726,25.6,-0.126,25.48,25.7,0.221
nu_3,nu,3,Georgetown AC,Emory LY,Neg,37.824,37.65,-0.174,34.456,34.614,0.158
nu_3,nu,3,Emory AS,Iowa AP,Neg,28.465,28.435,-0.03,36.406,36.435,0.029
nu_3,nu,3,Binghamton CK,Macalester HW,Aff,36.859,36.866,0.007,23.899,23.885,-0.015
nu_3,nu,3,Kansas OW,Northwestern LR,Aff,34.374,34.54,0.166,37.904,37.729,-0.176
nu_3,nu,3,Michigan CC,CSU Long Beach OM,Neg,31.111,31.063,-0.048,36.634,36.682,0.048
nu_3,nu,3,Wake Forest PS,George Mason WW,Aff,29.929,30.084,0.155,27.996,27.911,-0.085
nu_3,nu,3,Michigan State GL,Emory GS,Aff,35.909,36.127,0.218,42.064,41.815,-0.249
nu_3,nu,3,Kansas HL,Harvard DS,Neg,19.512,19.498,-0.015,30.679,30.693,0.013
nu_3,nu,3,CSU Long Beach ES,Michigan AO,Neg,17.865,17.847,-0.018,28.687,28.701,0.014
nu_3,nu,3,Missouri State HN,Georgetown LN,Neg,21.311,21.143,-0.167,22.234,22.341,0.107
nu_3,nu,3,Macalester CD,Georgia CP,Neg,15.7,15.625,-0.074,22.628,22.667,0.04
nu_3,nu,3,Binghamton TP,Kansas State AS,Neg,16.606,16.536,-0.07,24.776,24.835,0.059
nu_3,nu,3,Wake Forest HN,Michigan ES,Neg,26.213,26.187,-0.025,35.044,35.067,0.024
nu_3,nu,3,Harvard AB,Kansas BW,Neg,27.925,27.791,-0.133,28.173,28.273,0.1
nu_3,nu,3,Kansas HP,Georgia CK,Aff,34.903,34.929,0.026,26.541,26.515,-0.027
nu_3,nu,3,Emory RY,Liberty CL,Neg,32.259,32.097,-0.162,28.986,29.148,0.162
nu_3,nu,3,Iowa BS,Northwestern PS,Neg,23.491,23.475,-0.016,33.606,33.622,0.016
nu_3,nu,3,UC Berkeley BU,Kansas State DR,Aff,29.635,29.66,0.025,21.324,21.272,-0.052
nu_3,nu,3,Wyoming WW,Michigan State FM,Neg,20.058,20.032,-0.027,29.142,29.163,0.021
nu_3,nu,3,Michigan State JS,Georgetown VP,Aff,27.314,27.344,0.03,19.612,19.552,-0.06
nu_3,nu,3,Northwestern LL,Wake Forest DE,Neg,27.098,26.968,-0.129,26.397,26.529,0.132
nu_3,nu,3,Wake Forest AB,Baylor MP,Aff,26.096,26.125,0.029,17.752,17.721,-0.031
nu_3,nu,3,Kansas HM,Indiana FT,Aff,8.768,9.423,0.656,14.42,14.103,-0.318
nu_3,nu,3,Michigan AM,Wake Forest SK,Aff,22.477,22.558,0.082,18.585,18.447,-0.138
nu_3,nu,3,Michigan BP,Trinity KP,Aff,41.977,41.977,0.001,23.049,23.048,-0.001
nu_3,nu,3,Northwestern AT,Stanford LL,Aff,33.051,33.131,0.08,30.306,30.209,-0.098
nu_3,nu,3,Michigan SS,George Mason RS,Aff,37.512,37.512,0.0,15.95,15.95,-0.0
nu_3,nu,3,Southern California BR,Western Kentucky CF,Aff,29.324,29.369,0.045,23.397,23.285,-0.112
nu_3,nu,3,Southern California MT,Emory KS,Neg,24.802,24.766,-0.037,33.313,33.34,0.027
nu_3,nu,3,Arizona State SS,Kansas CS,Neg,21.584,21.406,-0.178,24.225,24.355,0.13
nu_3,nu,3,Western Kentucky KN,Michigan HM,Neg,23.592,23.422,-0.171,21.746,21.999,0.253
nu_3,nu,3,Kansas State DS,Wyoming CH,Neg,10.328,10.286,-0.043,19.378,19.405,0.027
nu_3,nu,3,Oklahoma BW,Emory CG,Neg,9.453,9.28,-0.173,14.747,14.81,0.062
nu_3,nu,3,UTD PR,Emory OP,Aff,29.675,29.75,0.075,27.08,26.925,-0.155
nu_3,nu,3,Michigan CS,Michigan State GS,Neg,28.159,28.056,-0.104,29.503,29.6,0.097
nu_3,nu,3,Emory SW,Dartmouth CG,Neg,21.281,21.238,-0.043,30.047,30.071,0.024
nu_3,nu,3,UTD HK,Western Kentucky SS,Aff,29.227,29.263,0.036,22.324,22.28,-0.044
nu_3,nu,3,Gonzaga RW,George Mason DG,Neg,23.434,23.353,-0.081,27.317,27.432,0.115
nu_3,nu,3,Kansas BM,North Texas VH,Aff,25.413,25.434,0.021,15.603,15.561,-0.042
nu_4,nu,4,Kansas LS,Binghamton CK,Neg,42.599,42.359,-0.241,36.866,37.073,0.206
nu_4,nu,4,Iowa AP,Wake Forest PS,Neg,36.435,36.222,-0.213,30.084,30.457,0.374
nu_4,nu,4,Kansas AU,Michigan State GL,Neg,32.657,32.59,-0.067,36.127,36.197,0.07
nu_4,nu,4,Emory CF,Baylor DL,Neg,25.7,25.617,-0.083,31.601,31.645,0.044
nu_4,nu,4,CSU Long Beach OM,Michigan BP,Neg,36.682,36.632,-0.05,41.977,42.037,0.059
nu_4,nu,4,Georgia CP,Emory GM,Neg,22.667,22.641,-0.026,31.431,31.464,0.033
nu_4,nu,4,Northwestern LR,Kansas BM,Aff,37.729,37.737,0.009,25.434,25.425,-0.01
nu_4,nu,4,Emory GS,Kansas HL,Aff,41.815,41.816,0.0,19.498,19.497,-0.0
nu_4,nu,4,Harvard DS,Southern California MT,Aff,30.693,30.742,0.049,24.766,24.702,-0.064
nu_4,nu,4,George Mason DG,Michigan AM,Aff,27.432,27.527,0.095,22.558,22.49,-0.069
nu_4,nu,4,Kansas BW,Missouri State NS,Neg,28.273,28.098,-0.174,23.205,23.488,0.283
nu_4,nu,4,Michigan ES,Iowa EW,Aff,35.067,35.124,0.056,30.277,30.223,-0.054
nu_4,nu,4,Trinity KP,UC Berkeley BU,Neg,23.048,22.996,-0.051,29.66,29.696,0.037
nu_4,nu,4,Michigan State GS,Wichita State GM,Aff,29.6,29.676,0.076,26.636,26.558,-0.077
nu_4,nu,4,Dartmouth CG,Southern California BR,Neg,30.071,29.944,-0.127,29.369,29.495,0.127
nu_4,nu,4,Southern California BM,Michigan CC,Neg,27.079,27.004,-0.075,31.063,31.127,0.064
nu_4,nu,4,Kansas CS,Michigan State JS,Neg,24.355,24.232,-0.123,27.344,27.417,0.073
